PVWatts Hourly PV Performance Data,,,,,,,,,,,
Requested Location,"800 Lancaster Ave, Villanova, PA 19085",,,,,,,,,,
Solar Resource Data Location,"NSRDB Lat/Lng: 40.05, -75.34",,,,,,,,,,
Latitude (degrees),40.05,,,,,,,,,,
Longitude (degrees),-75.34,,,,,,,,,,
Elevation (m),101.5199966,,,,,,,,,,
DC System Size (kW),1,,,,,,,,,,
Module Type,Premium,,,,,,,,,,
Array Type,Fixed (open rack),,,,,,,,,,
Array Tilt (deg),20,,,,,,,,,,
Array Azimuth (deg),180,,,,,,,,,,
System Losses (%),14.08,,,,,,,,,,
DC to AC Size Ratio,1.2,,,,,,,,,,
Inverter Efficiency (%),96,,,,,,,,,,
Ground Coverage Ratio,NA,,,,,,,,,,
Albedo,From weather file,,,,,,,,,,
Bifacial,Yes (0.7),,,,,,,,,,
Monthly Irradiance Loss (%),,,,,,,,,,,
1,5,6,0,0,-8,0.7,0.11,0,-8,0,0
1,5,7,0,0,-7,0.8,0.11,0,0,0,0
1,5,8,582,44,-5,1.1,0.11,285.647,3.218,247.549,234.814
1,5,9,764,63,-3,1.3,0.11,509.948,11.054,465.502,445.044
1,5,10,838,75,-2,1.4,0.11,670.042,15.991,602.053,576.756
1,5,11,864,81,-1,1.5,0.11,753.068,18.751,668.768,641.107
1,5,12,198,201,-1,1.5,0.11,379.031,8.85,340.323,324.301
1,5,13,85,180,-1,1.4,0.11,256.43,5.8,230.101,217.984
1,5,14,9,120,-1,1.2,0.11,128.044,2.546,113.668,105.677
1,5,15,0,67,-2,1,0.11,68.127,-0.023,59.099,53.042
1,5,16,0,27,-2,0.9,0.11,29.831,-1.246,16.188,11.651
1,5,17,0,0,-3,0.9,0.11,0,-3,0,0
1,5,18,0,0,-4,0.9,0.11,0,-4,0,0
1,5,19,0,0,-4,0.9,0.11,0,-4,0,0
1,5,20,0,0,-4,0.9,0.11,0,-4,0,0
1,5,21,0,0,-5,0.9,0.11,0,-5,0,0
1,5,22,0,0,-5,0.9,0.11,0,-5,0,0
1,5,23,0,0,-6,0.9,0.11,0,-6,0,0
1,6,0,0,0,-5,0.8,0.11,0,-5,0,0
1,6,1,0,0,-5,0.8,0.11,0,-5,0,0
1,6,2,0,0,-5,0.8,0.11,0,-5,0,0
1,6,3,0,0,-5,0.8,0.11,0,-5,0,0
1,6,4,0,0,-5,0.8,0.11,0,-5,0,0
1,6,5,0,0,-5,0.8,0.11,0,-5,0,0
1,6,6,0,0,-5,0.8,0.11,0,-5,0,0
1,6,7,0,0,-4,0.9,0.11,0,0,0,0
1,6,8,0,8,-2,1.2,0.11,7.685,-1.789,6.112,1.932
1,6,9,0,13,-1,1.4,0.11,12.503,-0.671,10.292,5.964
1,6,10,0,31,0,1.5,0.11,29.866,0.768,25.217,20.36
1,6,11,0,57,0,1.5,0.11,55.002,1.413,47.24,41.603
1,6,12,0,131,0,1.6,0.11,130.555,3.284,114.742,106.712
1,6,13,325,164,0,1.6,0.11,423.493,10.803,381.06,363.594
1,6,14,777,67,0,1.5,0.11,549.156,14.435,496.036,474.496
1,6,15,324,67,0,1.4,0.11,227.355,6.092,199.809,188.765
1,6,16,0,22,-1,1.3,0.11,22.896,-0.478,12.256,7.858
1,6,17,0,0,-1,1.3,0.11,0,-1,0,0
1,6,18,0,0,-2,1.3,0.11,0,-2,0,0
1,6,19,0,0,-2,1.2,0.11,0,-2,0,0
1,6,20,0,0,-3,1.1,0.11,0,-3,0,0
1,6,21,0,0,-3,1,0.11,0,-3,0,0
1,6,22,0,0,-4,1,0.11,0,-4,0,0
1,6,23,0,0,-4,1,0.11,0,-4,0,0
1,7,0,0,0,-4,1,0.11,0,-4,0,0
1,7,1,0,0,-4,1,0.11,0,-4,0,0
1,7,2,0,0,-4,0.9,0.11,0,-4,0,0
1,7,3,0,0,-4,0.9,0.11,0,-4,0,0
1,7,4,0,0,-4,0.8,0.11,0,-4,0,0
1,7,5,0,0,-5,0.8,0.11,0,-5,0,0
1,7,6,0,0,-5,0.8,0.11,0,-5,0,0
1,7,7,0,0,-4,0.8,0.11,0,0,0,0
1,7,8,592,42,-2,1,0.11,284.043,6.374,243.333,230.747
1,7,9,770,59,0,1.1,0.11,509.166,14.722,459.053,438.824
1,7,10,836,71,0,1.1,0.11,665.03,19.182,590.941,566.038
1,7,11,857,79,1,1.1,0.11,747.441,22.542,654.899,627.73
1,7,12,854,81,1,1,0.11,754.419,23.287,659.014,631.699
1,7,13,830,76,1,0.9,0.11,685.856,21.806,603.34,577.998
1,7,14,742,72,0,0.8,0.11,538.865,16.812,482.33,461.276
1,7,15,562,58,0,0.6,0.11,321.408,10.582,280.771,266.858
1,7,16,178,20,0,0.5,0.11,70.34,1.895,34.753,29.558
1,7,17,0,0,-1,0.5,0.11,0,-1,0,0
1,7,18,0,0,-2,0.5,0.11,0,-2,0,0
1,7,19,0,0,-3,0.5,0.87,0,-3,0,0
1,7,20,0,0,-2,0.5,0.87,0,-2,0,0
1,7,21,0,0,-2,0.4,0.87,0,-2,0,0
1,7,22,0,0,-2,0.4,0.87,0,-2,0,0
1,7,23,0,0,-2,0.4,0.87,0,-2,0,0
1,8,0,0,0,-2,0.4,0.87,0,-2,0,0
1,8,1,0,0,-3,0.3,0.87,0,-3,0,0
1,8,2,0,0,-3,0.3,0.87,0,-3,0,0
1,8,3,0,0,-3,0.3,0.87,0,-3,0,0
1,8,4,0,0,-3,0.3,0.87,0,-3,0,0
1,8,5,0,0,-3,0.3,0.87,0,-3,0,0
1,8,6,0,0,-3,0.3,0.87,0,-3,0,0
1,8,7,0,0,-2,0.5,0.87,0,0,0,0
1,8,8,295,79,-1,0.9,0.87,234.935,5.542,202.74,191.592
1,8,9,513,127,-1,1.4,0.87,518.753,11.049,470.484,449.849
1,8,10,419,141,0,1.6,0.87,546.489,11.974,492.507,471.092
1,8,11,83,198,0,1.7,0.87,337.515,7.004,302.496,287.814
1,8,12,94,204,0,1.8,0.87,355.834,7.25,319.016,303.748
1,8,13,90,182,0,1.8,0.87,317.697,6.464,285.652,271.566
1,8,14,571,131,-1,1.7,0.87,590.64,11.775,535.608,512.666
1,8,15,435,86,-1,1.5,0.87,332.419,6.894,295.089,280.669
1,8,16,136,24,-2,1.3,0.87,70.541,-0.535,36.197,30.951
1,8,17,0,0,-3,1.3,0.87,0,-3,0,0
1,8,18,0,0,-4,1.2,0.87,0,-4,0,0
1,8,19,0,0,-4,1.2,0.87,0,-4,0,0
1,8,20,0,0,-5,1.1,0.87,0,-5,0,0
1,8,21,0,0,-5,1.1,0.87,0,-5,0,0
1,8,22,0,0,-5,1.1,0.87,0,-5,0,0
1,8,23,0,0,-6,1.2,0.87,0,-6,0,0
1,9,0,0,0,-6,1.2,0.87,0,-6,0,0
